Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      928    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       63    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:856(get_code)
        2    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:165(create_maze_walls)
      142    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:180(split)
      129    0.000    0.000    0.032    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
     1315    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:172(append)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     1854    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:160(__len__)
     3361    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      858    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\random.py:290(randrange)
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:1002(_find_and_load)
      858    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\random.py:237(_randbelow_with_getrandbits)
     3599    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2069    0.000    0.000    0.000    0.000 {built-in method time.time}
      471    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
       78    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
       62    0.000    0.000    0.007    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
    111/5    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
      288    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       26    0.000    0.000    0.004    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:321(extract)
     2294    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      340    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:249(_compile_charset)
     1199    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:286(tell)
        9    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\collections\__init__.py:345(namedtuple)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1908    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
        4    0.000    0.000    0.000    0.000 {built-in method io.open}
      133    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3260(__init__)
      742    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
     3080    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3553    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       77    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:536(_compile_info)
     2316    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     1697    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      570    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      471    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copyreg.py:94(__newobj__)
    148/3    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
       77    0.000    0.000    0.031    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:759(compile)
       96    0.000    0.000    0.009    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2118(distributions_from_metadata)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      232    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:432(_uniq)
      914    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:111(__init__)
     1345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      192    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        7    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:136(__new__)
      522    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     81/2    0.000    0.000    0.154    0.077 <frozen importlib._bootstrap>:659(_load_unlocked)
     1364    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      640    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      858    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\random.py:334(randint)
       82    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
      240    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     87/2    0.000    0.000    0.155    0.077 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        6    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:462(<listcomp>)
        1    0.000    0.000    0.006    0.006 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:4(<module>)
       96    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:474(_cmpkey)
       48    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
      181    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:295(_class_escape)
     1423    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       63    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:976(get_data)
      242    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       77    0.000    0.000    0.021    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:937(parse)
      175    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       57    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:65(__setitem__)
        1    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:40(<listcomp>)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       15    0.000    0.000    0.012    0.001 {built-in method builtins.sorted}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
     1021    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       84    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      144    0.000    0.000    0.008    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:39(isdir)
      188    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
       44    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:413(<listcomp>)
     63/2    0.000    0.000    0.154    0.077 <frozen importlib._bootstrap_external>:784(exec_module)
     1814    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     64/1    0.000    0.000   14.574   14.574 {built-in method builtins.exec}
      588    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      144    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
      236    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       62    0.000    0.000    0.027    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2032(find_on_path)
   131/65    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
       96    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:121(_splitext)
   102/76    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.017    0.017 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:26(<module>)
      120    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2368(__init__)
       48    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:305(__str__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
       77    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:852(__and__)
      480    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
      400    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:168(__setitem__)
       12    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2653(__init__)
    81/70    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       48    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:670(add)
       69    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
      192    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
      407    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
       60    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:267(getuntil)
