Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36/11    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3743(leaveWhitespace)
     8558    0.003    0.000    0.003    0.000 {method 'get_rect' of 'pygame.Surface' objects}
    13385    0.003    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
      742    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
      471    0.001    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copy.py:66(copy)
      340    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
     2068    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:124(splitdrive)
       63    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
   131/65    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3363(copy)
    61/11    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
      997    0.003    0.000    0.003    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\_parseaddr.py:4(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ctypes\__init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:267(Version)
      192    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
    11465    0.002    0.000    0.002    0.000 {built-in method math.cos}
    25619    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\subprocess.py:10(<module>)
   131/65    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
       26    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2763(_get_metadata)
      192    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
     1406    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\quoprimime.py:5(<module>)
       26    0.000    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\linecache.py:52(checkcache)
