Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      700    0.001    0.000    0.004    0.000 D:\Programmation\Pycharm\Python\Tank-Game\menu.py:341(check_tank_display_input)
      680    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
      640    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
      588    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      571    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      570    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      543    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      543    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      528    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      522    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
   492/81    0.007    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
      480    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
      480    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
      471    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copyreg.py:94(__newobj__)
      471    0.001    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copy.py:66(copy)
      471    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
      471    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1167(copy)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      468    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2153(__str__)
      464    0.001    0.000    0.186    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:304(check_input)
      464    0.002    0.000    2.234    0.005 D:\Programmation\Pycharm\Python\Tank-Game\game.py:309(tick)
      464    0.001    0.000    0.037    0.000 D:\Programmation\Pycharm\Python\Tank-Game\game.py:333(move_bullets)
      464    0.250    0.001    0.521    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:436(draw_score)
      464    0.033    0.000    1.291    0.003 D:\Programmation\Pycharm\Python\Tank-Game\game.py:403(draw)
      464    3.869    0.008    3.869    0.008 {method 'tick' of 'Clock' objects}
      456    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:81(groups)
      407    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
      400    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:168(__setitem__)
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      372    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
      365    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:423(_simple)
      340    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:249(_compile_charset)
      340    0.002    0.000    0.003    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
   339/77    0.001    0.000    0.020    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
      339    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2159(streamline)
      335    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      311    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      292    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      288    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
      288    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:420(_parse_letter_version)
      288    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      288    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
  281/278    0.003    0.000    0.024    0.000 {built-in method builtins.__build_class__}
      270    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      266    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3270(<genexpr>)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      255    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
      250    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      242    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      240    0.000    0.000    0.003    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:48(parse)
      239    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      236    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      232    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:432(_uniq)
      230    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
      222    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      217    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      212    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
